ASD Acronym,Designation,Title of Standard,Abstract,Link,,,
IEC,IEC 61340-5-3:2022 CMV,Electrostatics - Part 5-3: Protection of electronic devices from electrostatic phenomena - Properties and requirements classification for packaging intended for electrostatic discharge sensitive devices,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61340-5-3:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61340-5-3:2022 CMV
IEC,IEC 61439-3:2024 CMV,Low-voltage switchgear and controlgear assemblies - Part 3: Distribution boards intended to be operated by ordinary persons (DBO),Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61439-3:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61439-3:2024 CMV
IEC,IEC 61496-3:2025 CMV,Safety of machinery - Electro-sensitive protective equipment - Part 3: Particular requirements for active opto-electronic protective devices responsive to diffuse reflection (AOPDDR),Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61496-3:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61496-3:2025 CMV
IEC,IEC 61557-9:2023 CMV,"Electrical safety in low voltage distribution systems up to 1 000 V AC and 1 500 V DC - Equipment for testing, measuring or monitoring of protective measures - Part 9: Equipment for insulation fault location in IT systems",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61557-9:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61557-9:2023 CMV
IEC,IEC 61557-10:2024 CMV,"Electrical safety in low voltage distribution systems up to 1 000 V AC and 1 500 V DC - Equipment for testing, measuring or monitoring of protective measures - Part 10: Combined measuring equipment for testing, measuring and monitoring of protective measures",Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61557-10:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61557-10:2024 CMV
IEC,IEC 61689:2022 RLV,"Ultrasonics - Physiotherapy systems - Field specifications and methods of measurement in the frequency range 0,5 MHz to 5 MHz",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61689:2022 RLV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61689:2022 RLV
IEC,IEC 61857-21:2009,Electrical insulation systems - Procedures for thermal evaluation - Part 21: Specific requirements for general-purpose models - Wire-wound applications,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61857-21:2009,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61857-21:2009
IEC,IEC 61869-10:2017,Instrument transformers - Part 10: Additional requirements for low-power passive current transformers,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61869-10:2017,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61869-10:2017
IEC,IEC 61935-2:2022 CMV,Specification for the testing of balanced and coaxial information technology cabling - Part 2: Cords as specified in ISO/IEC 11801-1 and related standards,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61935-2:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61935-2:2022 CMV
IEC,IEC 61936-1:2021 CMV,"Power installations exceeding 1 kV AC and 1,5 kV DC - Part 1: AC",Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61936-1:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61936-1:2021 CMV
IEC,IEC 61987-100:2025,"Industrial-process measurement and control ��� Data structures and elements in process equipment catalogues ��� Part 100: Data base standard for process measurement, control and automati",Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61987-100:2025,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61987-100:2025
IEC,IEC 62056-8-3:2013,Electricity metering data exchange - The DLMS/COSEM suite - Part 8-3: Communication profile for PLC S-FSK neighbourhood networks,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62056-8-3:2013,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62056-8-3:2013
IEC,IEC 62059-31-1:2008,Electricity metering equipment - Dependability - Part 31-1: Accelerated reliability testing - Elevated temperature and humidity,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62059-31-1:2008,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62059-31-1:2008
IEC,IEC 62068:2013,Electrical insulating materials and systems - General method of evaluation of electrical endurance under repetitive voltage impulses,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62068:2013,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62068:2013
IEC,IEC 62196-1:2025 CMV,"Plugs, socket-outlets, vehicle connectors and vehicle inlets - Conductive charging of electric vehicles - Part 1: General requirements",Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62196-1:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62196-1:2025 CMV
IEC,IEC 62217:2025 CMV,"Polymeric HV insulators for indoor and outdoor use - General definitions, test methods and acceptance criteria",Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62217:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62217:2025 CMV
IEC,IEC 62271-214:2024 CMV,High-voltage switchgear and controlgear - Part 214: Internal arc classification for AC metal-enclosed pole-mounted switchgear and controlgear for rated voltages above 1 kV and up to and including 52 kV,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62271-214:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62271-214:2024 CMV
IEC,IEC 62341-6-1:2025 CMV,Organic light emitting diode (OLED) displays - Part 6-1: Measuring methods of optical and electro-optical parameters,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62341-6-1:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62341-6-1:2025 CMV
IEC,IEC 62386-101:2022 CMV,Digital addressable lighting interface - Part 101: General requirements - System components,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62386-101:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62386-101:2022 CMV
IEC,IEC 62386-102:2022 CMV,Digital addressable lighting interface - Part 102: General requirements - Control gear,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62386-102:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62386-102:2022 CMV
IEC,IEC 62386-103:2022 CMV,Digital addressable lighting interface - Part 103: General requirements - Control devices,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62386-103:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62386-103:2022 CMV
IEC,IEC 62425:2025 CMV,"Railway applications - Communication, signalling and processing systems - Safety related electronic systems for signalling",Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62425:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62425:2025 CMV
IEC,IEC 62506:2023 CMV,Methods for product accelerated testing,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62506:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62506:2023 CMV
IEC,IEC 62631-3-2:2023 CMV,Dielectric and resistive properties of solid insulating materials - Part 3-2: Determination of resistive properties (DC methods) - Surface resistance and surface resistivity,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62631-3-2:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62631-3-2:2023 CMV
IEC,IEC 62759-1:2022 CMV,Photovoltaic (PV) modules - Transportation testing - Part 1: Transportation and shipping of module package units,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62759-1:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62759-1:2022 CMV
IEC,IEC 62765-2:2019,Nuclear power plants - Instrumentation and control important to safety - Management of ageing of sensors and transmitters - Part 2: Temperature sensors,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62765-2:2019,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62765-2:2019
IEC,IEC 62770:2024 CMV,Fluids for electrotechnical applications - Unused natural esters for transformers and similar electrical equipment,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62770:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62770:2024 CMV
IEC,IEC 62840-2:2025 CMV,Electric vehicle battery swap system - Part 2: Safety requirements,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62840-2:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62840-2:2025 CMV
IEC,IEC 62933-5-2:2025 CMV,Electrical energy storage (EES) systems - Part 5-2: Safety requirements for grid-integrated EES systems - Electrochemical-based systems,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62933-5-2:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62933-5-2:2025 CMV
IEC,IEC 63006:2019,Wireless power transfer (WPT) - Glossary of terms,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 63006:2019,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 63006:2019
IEC,IEC 63402-1:2025,Energy Efficiency - Customer Energy Management Systems -- Part 1: General Requirements and Architecture,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 63402-1:2025,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 63402-1:2025
IEC,IEC 80000-6:2022,Quantities and units - Part 6: Electromagnetism,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 80000-6:2022,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 80000-6:2022
IEC,IEC 80000-13:2025,Quantities and units - Part 13: Information science and technology,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 80000-13:2025,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 80000-13:2025
IEC,IEC 60068-2-69:2017+AMD1:2019 CSV,Environmental testing - Part 2-69: Tests - Test Te/Tc: Solderability testing of electronic components and printed boards by the wetting balance (force measurement) method,Edition 3.1,https://webstore.iec.ch/en/iec-search/result?q=IEC 60068-2-69:2017+AMD1:2019 CSV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60068-2-69:2017+AMD1:2019 CSV
IEC,IEC 61788-22-2:2021,Superconductivity - Part 22-2: Normal state resistance and critical current measurement - High-TC Josephson junction,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61788-22-2:2021,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61788-22-2:2021
IEC,IEC 60364-4-42:2024,Low-voltage electrical installations - Part 4-42: Protection for safety - Protection against thermal effects,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60364-4-42:2024,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60364-4-42:2024
IEC,IEC 61892-4:2019,Mobile and fixed offshore units - Electrical installations - Part 4: Cables,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61892-4:2019,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61892-4:2019
IEC,IEC 60079-31:2022 RLV,"Explosive atmospheres - Part 31: Equipment dust ignition protection by enclosure ""t""",Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60079-31:2022 RLV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60079-31:2022 RLV
IEC,IEC 60331-4:2024,Tests for electric cables under fire conditions ��� Circuit integrity ��� Part 4: Test method for fire with shock at a temperature of at least 830 ��C for cables of rated voltage higher than 1 kV up to and,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60331-4:2024,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60331-4:2024
IEC,IEC 60695-7-3:2011,Fire hazard testing - Part 7-3: Toxicity of fire effluent - Use and interpretation of test results,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60695-7-3:2011,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60695-7-3:2011
IEC,IEC 61892-7:2019,Mobile and fixed offshore units - Electrical installations - Part 7: Hazardous areas,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61892-7:2019,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61892-7:2019
IEC,IEC 61968-1:2020,Application integration at electric utilities - System interfaces for distribution management - Part 1: Interface architecture and general recommendations,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61968-1:2020,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61968-1:2020
IEC,IEC 62055-31:2022 CMV,"Electricity metering - Payment systems - Part 31: Particular requirements - Static payment meters for active energy (classes 0,5, 1 and 2)",Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 62055-31:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 62055-31:2022 CMV
IEC,ISO 81714-1:2010,Design of graphical symbols for use in the technical documentation of products - Part 1: Basic rules,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=ISO 81714-1:2010,,,https://webstore.iec.ch/en/iec-search/result?q=ISO 81714-1:2010
IEC,IEC 60034-9:2021 CMV,Rotating electrical machines - Part 9: Noise limits,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-9:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-9:2021 CMV
IEC,IEC 60034-18-1:2022 CMV,Rotating electrical machines - Part 18-1: Functional evaluation of insulation systems - General guidelines,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-18-1:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-18-1:2022 CMV
IEC,IEC 60034-18-32:2022 CMV,Rotating electrical machines - Part 18-32: Functional evaluation of insulation systems (Type II) - Electrical endurance qualification procedures for form-wound windings,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-18-32:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-18-32:2022 CMV
IEC,IEC 60034-30-1:2025 CMV,Rotating electrical machines - Part 30-1: Efficiency classes of line operated AC motors (IE code),Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-30-1:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60034-30-1:2025 CMV
IEC,IEC 60050-461:2008,International Electrotechnical Vocabulary (IEV) - Part 461: Electric cables,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60050-461:2008,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60050-461:2008
IEC,IEC 60079-18:2025 CMV,"Explosive atmospheres - Part 18: Equipment protection by encapsulation ""m""",Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60079-18:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60079-18:2025 CMV
IEC,IEC 60086-4:2025 CMV,Primary batteries - Part 4: Safety of lithium batteries,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60086-4:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60086-4:2025 CMV
IEC,IEC 60112:2025 CMV,Method for the determination of the proof and the comparative tracking indices of solid insulating materials,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60112:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60112:2025 CMV
IEC,IEC 60146-1-1:2024 CMV,Semiconductor converters - General requirements and line commutated converters - Part 1-1: Specification of basic requirements,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60146-1-1:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60146-1-1:2024 CMV
IEC,IEC 60194-1:2021,"Printed boards design, manufacture and assembly - Vocabulary - Part 1: Common usage in printed board and electronic assembly technologies",Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60194-1:2021,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60194-1:2021
IEC,IEC 60204-32:2023 CMV,Safety of machinery - Electrical equipment of machines - Part 32: Requirements for hoisting machines,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60204-32:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60204-32:2023 CMV
IEC,IEC 60216-1:2025 CMV,Electrical insulating materials - Thermal endurance properties - Part 1: Ageing procedures and evaluation of test results,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60216-1:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60216-1:2025 CMV
IEC,IEC 60216-5:2022 CMV,Electrical insulating materials - Thermal endurance properties - Part 5: Determination of relative temperature index (RTI) of an insulating material,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60216-5:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60216-5:2022 CMV
IEC,IEC 60228:2023 CMV,Conductors of insulated cables,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60228:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60228:2023 CMV
IEC,IEC 60255-27:2023 CMV,Measuring relays and protection equipment - Part 27: Product safety requirements,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60255-27:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60255-27:2023 CMV
IEC,IEC 60268-7:2025 CMV,Sound system equipment - Part 7: Headphones and earphones,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60268-7:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60268-7:2025 CMV
IEC,IEC 60286-3:2022 CMV,Packaging of components for automatic handling - Part 3: Packaging of surface mount components on continuous tapes,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60286-3:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60286-3:2022 CMV
IEC,IEC 60287-1-1:2023 CMV,Electric cables - Calculation of the current rating - Part 1-1: Current rating equations (100 % load factor) and calculation of losses - General,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-1-1:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-1-1:2023 CMV
IEC,IEC 60287-1-3:2023 CMV,Electric cables - Calculation of the current rating - Part 1-3: Current rating equations (100 % load factor) and calculation of losses - Current sharing between parallel single-core cables and calculation of circulating current losses,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-1-3:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-1-3:2023 CMV
IEC,IEC 60287-2-1:2023 CMV,Electric cables - Calculation of the current rating - Part 2-1: Thermal resistance - Calculation of thermal resistance,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-2-1:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-2-1:2023 CMV
IEC,IEC 60300-3-14:2024,Dependability management - Part 3-14: Application guide - Supportability and support,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60300-3-14:2024,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60300-3-14:2024
IEC,IEC 60332-1-2:2025 CMV,Tests on electric and optical fibre cables under fire conditions - Part 1-2: Test for vertical flame propagation for a single insulated wire or cable - Procedure for 1 kW pre-mixed flame,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60332-1-2:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60332-1-2:2025 CMV
IEC,IEC 60335-1:2020 CMV,Household and similar electrical appliances - Safety - Part 1: General requirements,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-1:2020 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-1:2020 CMV
IEC,IEC 60335-2-3:2022 CMV,Household and similar electrical appliances - Safety - Part 2-3: Particular requirements for electric irons,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-3:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-3:2022 CMV
IEC,IEC 60335-2-5:2025 CMV,Household and similar electrical appliances - Safety - Part 2-5: Particular requirements for dishwashers,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-5:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-5:2025 CMV
IEC,IEC 60335-2-6:2024 CMV,"Household and similar electrical appliances - Safety - Part 2-6: Particular requirements for stationary cooking ranges, hobs, ovens and similar appliances",Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-6:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-6:2024 CMV
IEC,IEC 60335-2-7:2024 CMV,Household and similar electrical appliances - Safety - Part 2-7: Particular requirements for washing machines,Edition 9.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-7:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-7:2024 CMV
IEC,IEC 60335-2-8:2022 CMV,"Household and similar electrical appliances - Safety - Part 2-8: Particular requirements for shavers, hair clippers and similar appliances",Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-8:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-8:2022 CMV
IEC,IEC 60335-2-10:2021 CMV,Household and similar electrical appliances - Safety - Part 2-10: Particular requirements for floor treatment machines and wet scrubbing machines,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-10:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-10:2021 CMV
IEC,IEC 60335-2-11:2024 CMV,Household and similar electrical appliances - Safety - Part 2-11: Particular requirements for tumble dryers,Edition 9.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-11:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-11:2024 CMV
IEC,IEC 60335-2-12:2024 CMV,Household and similar electrical appliances - Safety - Part 2-12: Particular requirements for warming plates and similar appliances,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-12:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-12:2024 CMV
IEC,IEC 60335-2-13:2021 CMV,"Household and similar electrical appliances - Safety - Part 2-13: Particular requirements for deep fat fryers, frying pans and similar appliances",Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-13:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-13:2021 CMV
IEC,IEC 60335-2-14:2025 CMV,Household and similar electrical appliances - Safety - Part 2-14: Particular requirements for kitchen machines,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-14:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-14:2025 CMV
IEC,IEC 60335-2-15:2024 CMV,Household and similar electrical appliances - Safety - Part 2-15: Particular requirements for appliances for heating liquids,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-15:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-15:2024 CMV
IEC,IEC 60335-2-16:2022 CMV,Household and similar electrical appliances - Safety - Part 2-16: Particular requirements for food waste disposers,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-16:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-16:2022 CMV
IEC,IEC 60335-2-17:2022 CMV,"Household and similar electrical appliances - Safety - Part 2-17: Particular requirements for blankets, pads, clothing and similar flexible heating appliances",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-17:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-17:2022 CMV
IEC,IEC 60335-2-21:2022 CMV,Household and similar electrical appliances - Safety - Part 2-21: Particular requirements for storage water heaters,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-21:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-21:2022 CMV
IEC,IEC 60335-2-26:2024 CMV,Household and similar electrical appliances - Safety - Part 2-26: Particular requirements for clocks,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-26:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-26:2024 CMV
IEC,IEC 60335-2-31:2024 CMV,Household and similar electrical appliances - Safety - Part 2-31: Particular requirements for range hoods and other cooking fume extractors,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-31:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-31:2024 CMV
IEC,IEC 60335-2-32:2024 CMV,Household and similar electrical appliances - Safety - Part 2-32: Particular requirements for massage appliances,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-32:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-32:2024 CMV
IEC,IEC 60335-2-36:2021 CMV,"Household and similar electrical appliances - Safety - Part 2-36: Particular requirements for commercial electric cooking ranges, ovens, hobs and hob elements",Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-36:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-36:2021 CMV
IEC,IEC 60335-2-41:2024 CMV,Household and similar electrical appliances - Safety - Part 2-41: Particular requirements for pumps,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-41:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-41:2024 CMV
IEC,IEC 60335-2-42:2021+AMD1:2025 CSV,"Household and similar electrical appliances - Safety - Part 2-42: Particular requirements for commercial electric forced convection ovens, steam cookers and steam-convection ovens",Edition 6.1,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-42:2021+AMD1:2025 CSV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-42:2021+AMD1:2025 CSV
IEC,IEC 60335-2-43:2024 CMV,Household and similar electrical appliances - Safety - Part 2-43: Particular requirements for clothes dryers and towel rails,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-43:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-43:2024 CMV
IEC,IEC 60335-2-45:2024 CMV,Household and similar electrical appliances - Safety - Part 2-45: Particular requirements for portable heating tools and similar appliances,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-45:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-45:2024 CMV
IEC,IEC 60335-2-51:2023 CMV,Household and similar electrical appliances - Safety - Part 2-51: Particular requirements for stationary circulation pumps for heating and service water installations,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-51:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-51:2023 CMV
IEC,IEC 60335-2-54:2022 CMV,Household and similar electrical appliances - Safety - Part 2-54: Particular requirements for surface-cleaning appliances for household use employing liquids or steam,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-54:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-54:2022 CMV
IEC,IEC 60335-2-59:2021 CMV,Household and similar electrical appliances - Safety - Part 2-59: Particular requirements for insect killers,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-59:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-59:2021 CMV
IEC,IEC 60335-2-60:2023 CMV,Household and similar electrical appliances - Safety - Part 2-60: Particular requirements for whirlpool baths and whirlpool spas,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-60:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-60:2023 CMV
