ASD Acronym,Designation,Title of Standard,Link
,ISO 21672-1:2012,Dentistry  Periodontal probes  Part 1: General requirements,https://www.iso.org/standard/53649.html
,ISO 21672-2:2012,Dentistry  Periodontal probes  Part 2: Designation,https://www.iso.org/standard/53650.html
,ISO 22374:2005,Dentistry  Dental handpieces  Electrical-powered scalers and scaler tips,https://www.iso.org/standard/36206.html
,ISO 22569:2020,Dentistry  Multifunction handpieces,https://www.iso.org/standard/73460.html
,ISO 23445:2021,Dentistry  Tissue punches,https://www.iso.org/standard/75603.html
,ISO 23940:2021,Dentistry  Excavators,https://www.iso.org/standard/77398.html
,ISO/TS 5111:2022,Guidance on quality of water for sterilizers sterilization and washer-disinfectors for health care products,https://www.iso.org/standard/80823.html
,ISO 11134:1994,Sterilization of health care products  Requirements for validation and routine control  Industrial moist heat sterilization,https://www.iso.org/standard/19153.html
,ISO 11135-1:2007,Sterilization of health care products  Ethylene oxide  Part 1: Requirements for development validation and routine control of a sterilization process for medical devices,https://www.iso.org/standard/43185.html
,ISO/TS 11135-2:2008 /Cor 1:2009,Sterilization of health care products  Ethylene oxide  Part 2: Guidance on the application of ISO 11135-1  Technical Corrigendum 1,https://www.iso.org/standard/53573.html
,ISO 11135:2014 /Amd 1:2018,Sterilization of health-care products  Ethylene oxide  Requirements for the development validation and routine control of a sterilization process for medical devices  Amendment 1: Revision of Annex E Single batch release,https://www.iso.org/standard/70821.html
,ISO 11137-1:2006 /Amd 2:2018,Sterilization of health care products  Radiation  Part 1: Requirements for development validation and routine control of a sterilization process for medical devices  Amendment 2: Revision to 4.3.4 and 11.2,https://www.iso.org/standard/72106.html
,ISO 11137-2:2013 /Amd 1:2022,Sterilization of health care products  Radiation  Part 2: Establishing the sterilization dose  Amendment 1,https://www.iso.org/standard/81755.html
,ISO 11137-3:2017,Sterilization of health care products  Radiation  Part 3: Guidance on dosimetric aspects of development validation and routine control,https://www.iso.org/standard/63841.html
,ISO/TS 11137-4:2020,Sterilization of health care products  Radiation  Part 4: Guidance on process control,https://www.iso.org/standard/69443.html
,ISO 11137:1995 /Cor 1:1997,Sterilization of health care products  Requirements for validation and routine control  Radiation sterilization  Technical Corrigendum 1,https://www.iso.org/standard/28900.html
,ISO 11138-1:2017,Sterilization of health care products  Biological indicators  Part 1: General requirements,https://www.iso.org/standard/66442.html
,ISO 11138-2:2017,Sterilization of health care products  Biological indicators  Part 2: Biological indicators for ethylene oxide sterilization processes,https://www.iso.org/standard/66445.html
,ISO 11138-3:2017,Sterilization of health care products  Biological indicators  Part 3: Biological indicators for moist heat sterilization processes,https://www.iso.org/standard/66446.html
,ISO 11138-4:2017,Sterilization of health care products  Biological indicators  Part 4: Biological indicators for dry heat sterilization processes,https://www.iso.org/standard/66447.html
,ISO 11138-5:2017,Sterilization of health care products  Biological indicators  Part 5: Biological indicators for low-temperature steam and formaldehyde sterilization processes,https://www.iso.org/standard/66448.html
,ISO 11138-7:2019,Sterilization of health care products  Biological indicators  Part 7: Guidance for the selection use and interpretation of results,https://www.iso.org/standard/74113.html
,ISO 11138-8:2021,Sterilization of health care products  Biological indicators  Part 8: Method for validation of a reduced incubation time for a biological indicator,https://www.iso.org/standard/62337.html
,ISO 11139:2018 /Amd 1:2024,Sterilization of health care products  Vocabulary of terms used in sterilization and related equipment and process standards  Amendment 1: Amended and additional terms and definitions,https://www.iso.org/standard/83351.html
,ISO/TS 11139:2006,Sterilization of health care products  Vocabulary,https://www.iso.org/standard/40168.html
,ISO 11140-1:2014,Sterilization of health care products  Chemical indicators  Part 1: General requirements,https://www.iso.org/standard/55080.html
,ISO 11140-2:1998,Sterilization of health care products  Chemical indicators  Part 2: Test equipment and methods,https://www.iso.org/standard/21775.html
,ISO 11140-3:2007 /Cor 1:2007,Sterilization of health care products  Chemical indicators  Part 3: Class 2 indicator systems for use in the Bowie and Dick-type steam penetration test  Technical Corrigendum 1,https://www.iso.org/standard/50588.html
,ISO 11140-4:2007,Sterilization of health care products  Chemical indicators  Part 4: Class 2 indicators as an alternative to the Bowie and Dick-type test for detection of steam penetration,https://www.iso.org/standard/42129.html
,ISO 11140-5:2007,Sterilization of health care products  Chemical indicators  Part 5: Class 2 indicators for Bowie and Dick-type air removal tests,https://www.iso.org/standard/40141.html
,ISO 11140-6:2022,Sterilization of health care products  Chemical indicators  Part 6: Type 2 indicators and process challenge devices for use in performance testing of small steam sterilizers,https://www.iso.org/standard/66625.html
,ISO 11737-1:2018 /Amd 1:2021,Sterilization of health care products  Microbiological methods  Part 1: Determination of a population of microorganisms on products  Amendment 1,https://www.iso.org/standard/76751.html
,ISO 11737-2:2019,Sterilization of health care products  Microbiological methods  Part 2: Tests of sterility performed in the definition validation and maintenance of a sterilization process,https://www.iso.org/standard/70801.html
,ISO 11737-3:2023,Sterilization of health care products  Microbiological methods  Part 3: Bacterial endotoxin testing,https://www.iso.org/standard/76249.html
,ISO 13004:2022,Sterilization of health care products  Radiation  Substantiation of selected sterilization dose: Method VDmaxSD,https://www.iso.org/standard/82297.html
,ISO/TS 13004:2013,Sterilization of health care products  Radiation  Substantiation of selected sterilization dose: Method VDmaxSD,https://www.iso.org/standard/52320.html
,ISO 13408-1:2023,Aseptic processing of health care products  Part 1: General requirements,https://www.iso.org/standard/77151.html
,ISO 13408-2:2018 /AWI Amd 1,Aseptic processing of health care products  Part 2: Sterilizing filtration  Amendment 1,https://www.iso.org/standard/90092.html
,ISO 13408-3:2006,Aseptic processing of health care products  Part 3: Lyophilization,https://www.iso.org/standard/39936.html
,ISO 13408-4:2005,Aseptic processing of health care products  Part 4: Clean-in-place technologies,https://www.iso.org/standard/39781.html
,ISO 13408-5:2006,Aseptic processing of health care products  Part 5: Sterilization in place,https://www.iso.org/standard/35290.html
,ISO 13408-6:2021,Aseptic processing of health care products  Part 6: Isolator systems,https://www.iso.org/standard/72836.html
,ISO 13408-7:2012,Aseptic processing of health care products  Part 7: Alternative processes for medical devices and combination products,https://www.iso.org/standard/30061.html
,ISO/TR 13409:1996,Sterilization of health care products  Radiation sterilization  Substantiation of 25 kGy as a sterilization dose for small or infrequent production batches,https://www.iso.org/standard/21926.html
,ISO/TS 13409:2002,Sterilization of health care products  Radiation sterilization  Substantiation of 25 kGy as a sterilization dose for small or infrequent production batches,https://www.iso.org/standard/36708.html
,ISO 13683:1997,Sterilization of health care products  Requirements for validation and routine control of moist heat sterilization in health care facilities,https://www.iso.org/standard/22270.html
,ISO 14160:2020,Sterilization of health care products  Liquid chemical sterilizing agents for single-use medical devices utilizing animal tissues and their derivatives  Requirements for characterization development validation and routine control of a sterilization process for medical devices,https://www.iso.org/standard/73159.html
,ISO 14161:2009,Sterilization of health care products  Biological indicators  Guidance for the selection use and interpretation of results,https://www.iso.org/standard/43350.html
,ISO 14937:2009,Sterilization of health care products  General requirements for characterization of a sterilizing agent and the development validation and routine control of a sterilization process for medical devices,https://www.iso.org/standard/44954.html
,ISO/TS 15843:2000,Sterilization of health care products  Radiation sterilization  Product families and sampling plans for verification dose experiments and sterilization dose audits and frequency of sterilization dose audits,https://www.iso.org/standard/27035.html
,ISO/TR 15844:1998,Sterilization of health care products  Radiation sterilization  Selection of sterilization dose for a single production batch,https://www.iso.org/standard/27036.html
,ISO 15882:2008,Sterilization of health care products  Chemical indicators  Guidance for selection use and interpretation of results,https://www.iso.org/standard/43293.html
,ISO 17664-1:2021,Processing of health care products  Information to be provided by the medical device manufacturer for the processing of medical devices  Part 1: Critical and semi-critical medical devices,https://www.iso.org/standard/81720.html
,ISO 17664-2:2021,Processing of health care products  Information to be provided by the medical device manufacturer for the processing of medical devices  Part 2: Non-critical medical devices,https://www.iso.org/standard/74152.html
,ISO 17664:2017,Processing of health care products  Information to be provided by the medical device manufacturer for the processing of medical devices,https://www.iso.org/standard/62952.html
,ISO 17665-1:2006,Sterilization of health care products  Moist heat  Part 1: Requirements for the development validation and routine control of a sterilization process for medical devices,https://www.iso.org/standard/43187.html
,ISO/TS 17665-2:2009,Sterilization of health care products  Moist heat  Part 2: Guidance on the application of ISO 17665-1,https://www.iso.org/standard/43188.html
,ISO/TS 17665-3:2013,Sterilization of health care products  Moist heat  Part 3: Guidance on the designation of a medical device to a product family and processing category for steam sterilization,https://www.iso.org/standard/54997.html
,ISO 17665:2024,Sterilization of health care products  Moist heat  Requirements for the development validation and routine control of a sterilization process for medical devices,https://www.iso.org/standard/80271.html
,ISO 18362:2016 /Amd 1:2022,Manufacture of cell-based health care products  Control of microbial risks during processing  Amendment 1,https://www.iso.org/standard/81822.html
,ISO 18472:2018,Sterilization of health care products  Biological and chemical indicators  Test equipment,https://www.iso.org/standard/66450.html
,ISO/TS 19930:2017,Guidance on aspects of a risk-based approach to assuring sterility of terminally sterilized single-use health care product that is unable to withstand processing to achieve maximally a sterility assurance level of 10-6,https://www.iso.org/standard/66566.html
,ISO/TR 20520:2018,Traditional Chinese medicine  Infection control for acupuncture treatment,https://www.iso.org/standard/75169.html
,ISO 20857:2010,Sterilization of health care products  Dry heat  Requirements for the development validation and routine control of a sterilization process for medical devices,https://www.iso.org/standard/39778.html
,ISO/TS 21387:2020,Sterilization of medical devices  Guidance on the requirements for the validation and routine processing of ethylene oxide sterilization processes using parametric release,https://www.iso.org/standard/70849.html
,ISO/TS 22421:2021,Sterilization of health care products  Common requirements for sterilizers for terminal sterilization of medical devices in health care facilities,https://www.iso.org/standard/73158.html
,ISO 22441:2022,Sterilization of health care products  Low temperature vaporized hydrogen peroxide  Requirements for the development validation and routine control of a sterilization process for medical devices,https://www.iso.org/standard/73214.html
,ISO/TS 22456:2021,Sterilization of healthcare products  Microbiological methods Guidance on conducting bioburden determinations and tests of sterility for biologics and tissue-based products,https://www.iso.org/standard/73256.html
,ISO 25424:2018 /Amd 1:2022,Sterilization of health care products  Low temperature steam and formaldehyde  Requirements for development validation and routine control of a sterilization process for medical devices  Amendment 1,https://www.iso.org/standard/81821.html
,ISO 15883-1:2006 /Amd 1:2014,Washer-disinfectors  Part 1: General requirements terms and definitions and tests  Amendment 1,https://www.iso.org/standard/59843.html
,ISO 15883-2:2006,Washer-disinfectors  Part 2: Requirements and tests for washer-disinfectors employing thermal disinfection for surgical instruments anaesthetic equipment bowls dishes receivers utensils glassware etc.,https://www.iso.org/standard/41077.html
,ISO 15883-3:2006,Washer-disinfectors  Part 3: Requirements and tests for washer-disinfectors employing thermal disinfection for human waste containers,https://www.iso.org/standard/41078.html
,ISO 15883-4:2018,Washer-disinfectors  Part 4: Requirements and tests for washer-disinfectors employing chemical disinfection for thermolabile endoscopes,https://www.iso.org/standard/63696.html
,ISO 15883-5:2021,Washer-disinfectors  Part 5: Performance requirements and test method criteria for demonstrating cleaning efficacy,https://www.iso.org/standard/68297.html
,ISO/TS 15883-5:2005,Washer-disinfectors  Part 5: Test soils and methods for demonstrating cleaning efficacy,https://www.iso.org/standard/41175.html
,ISO 15883-6:2011,Washer-disinfectors  Part 6: Requirements and tests for washer-disinfectors employing thermal disinfection for non-invasive non-critical medical devices and healthcare equipment,https://www.iso.org/standard/46487.html
,ISO 15883-7:2016,Washer-disinfectors  Part 7: Requirements and tests for washer-disinfectors employing chemical disinfection for non-invasive non-critical thermolabile medical devices and healthcare equipment,https://www.iso.org/standard/56650.html
,ISO 11607-1:2019 /Amd 1:2023,Packaging for terminally sterilized medical devices  Part 1: Requirements for materials sterile barrier systems and packaging systems  Amendment 1: Application of risk management,https://www.iso.org/standard/81823.html
,ISO 11607-2:2019 /Amd 1:2023,Packaging for terminally sterilized medical devices  Part 2: Validation requirements for forming sealing and assembly processes  Amendment 1: Application of risk management,https://www.iso.org/standard/81248.html
,ISO 11607:2003,Packaging for terminally sterilized medical devices,https://www.iso.org/standard/31457.html
,ISO/TS 16775:2021,Packaging for terminally sterilized medical devices  Guidance on the application of ISO 11607-1 and ISO 11607-2,https://www.iso.org/standard/76555.html
,ISO 21881:2019 /CD Amd 1,Sterile packaged ready for filling glass cartridges  Amendment 1,https://www.iso.org/standard/87185.html
,ISO 21882:2019,Sterile packaged ready for filling glass vials,https://www.iso.org/standard/72036.html
,ISO 4154:2022,Traditional Chinese medicine  Sinomenium acutum stem,https://www.iso.org/standard/80121.html
,ISO 4564:2023,Traditional Chinese medicine  Scutellaria baicalensis root,https://www.iso.org/standard/80122.html
,ISO 4754:2022,Traditional Chinese medicine  Fermented Cordyceps powder,https://www.iso.org/standard/80260.html
,ISO 5076:2024,Traditional Chinese medicine  Angelica dahurica root,https://www.iso.org/standard/84374.html
,ISO 5228:2023,Traditional Chinese medicine  Rheum palmatum Rheum tanguticum and Rheum officinale root and rhizome,https://www.iso.org/standard/82920.html
,ISO 6904:2024,Traditional Chinese Medicine  General requirements for the ultrafine powder of herbs,https://www.iso.org/standard/82431.html
,ISO 7177:2023,Traditional Chinese medicine  Coptis chinensis and Coptis japonica rhizome,https://www.iso.org/standard/82681.html
,ISO 7450:2023,Traditional Chinese medicine  Pinellia ternata tuber,https://www.iso.org/standard/82804.html
,ISO 8071:2024,Traditional Chinese medicine  Ligusticum chuanxiong rhizome,https://www.iso.org/standard/82991.html
,ISO 8959:2024,Traditional Chinese medicine  Eucommia ulmoides stem bark,https://www.iso.org/standard/83422.html
,ISO 9109:2024,Traditional Chinese medicine  Rehmannia glutinosa root,https://www.iso.org/standard/83424.html
,ISO 9299:2024,Traditional Chinese medicine  Curcuma longa rhizome,https://www.iso.org/standard/83440.html
,ISO 9306:2023,Traditional Chinese medicine  Ephedra sinica Ephedra intermedia and Ephedra equisetina herbaceous stem,https://www.iso.org/standard/83441.html
,ISO 9319:2024,Traditional Chinese medicine  Poria cocos sclerotium,https://www.iso.org/standard/83442.html
,ISO/TS 13126:2023,Traditional Chinese medicine  Determination of ochratoxin A in natural products by liquid chromatography coupled with fluorescence detector,https://www.iso.org/standard/84286.html
,ISO 13615:2024,Traditional Chinese medicine  Atractylodes macrocephala rhizome,https://www.iso.org/standard/84388.html
,ISO 13619:2024,Traditional Chinese medicine  Gardenia jasminoides fruit,https://www.iso.org/standard/84389.html
,ISO 18664:2015,Traditional Chinese Medicine  Determination of heavy metals in herbal medicines used in Traditional Chinese Medicine,https://www.iso.org/standard/63150.html
,ISO 18668-1:2016,Traditional Chinese medicine  Coding system for Chinese medicines  Part 1: Coding rules for Chinese medicines,https://www.iso.org/standard/63155.html
,ISO 18668-2:2017,Traditional Chinese medicine  Coding system for Chinese medicines  Part 2: Codes for decoction pieces,https://www.iso.org/standard/64958.html
,ISO 18668-3:2017,Traditional Chinese medicine  Coding system for Chinese medicines  Part 3: Codes for Chinese Materia Medica,https://www.iso.org/standard/68354.html
,ISO 18668-4:2017,Traditional Chinese medicine  Coding system for Chinese medicines  Part 4: Codes for granule forms of individual medicinals for prescriptions,https://www.iso.org/standard/68355.html
,ISO/TR 18986:2024,Traditional Chinese medicine  Report on the global industry and standardization development of Panax ginseng,https://www.iso.org/standard/85594.html
,ISO 19609-1:2021,Traditional Chinese medicine  Quality and safety of raw materials and finished products made with raw materials  Part 1: General requirements,https://www.iso.org/standard/70976.html
,ISO 19609-2:2021,Traditional Chinese medicine  Quality and safety of raw materials and finished products made with raw materials  Part 2: Identity testing of constituents of herbal origin,https://www.iso.org/standard/71152.html
,ISO 19609-3:2022,Traditional Chinese medicine  Quality and safety of raw materials and finished products made with raw materials  Part 3: Testing for contaminants,https://www.iso.org/standard/78163.html
,ISO 19609-4:2022,Traditional Chinese medicine  Quality and safety of raw materials and finished products made with raw materials  Part 4: Testing for preservatives and unwanted compounds,https://www.iso.org/standard/78164.html
,ISO 19610:2017,Traditional Chinese medicine  General requirements for industrial manufacturing process of red ginseng (Panax ginseng C.A. Meyer),https://www.iso.org/standard/65462.html
,ISO 19617:2018,Traditional Chinese medicine  General requirements for the manufacturing process of natural products,https://www.iso.org/standard/65504.html
,ISO 20333:2017,Traditional Chinese medicine  Coding rules for Chinese medicines in supply chain management,https://www.iso.org/standard/67712.html
,ISO 20334:2018,Traditional Chinese medicine  Coding system of formulae,https://www.iso.org/standard/67713.html
,ISO 20409:2017,Traditional Chinese medicine  Panax notoginseng root and rhizome,https://www.iso.org/standard/67921.html
,ISO 20759:2023,Traditional Chinese medicine  Artemisia argyi leaf,https://www.iso.org/standard/87216.html
,ISO/TS 21310:2020,Traditional Chinese medicine  Microscopic examination of medicinal herbs,https://www.iso.org/standard/70514.html
,ISO 21314:2019,Traditional Chinese medicine  Salvia miltiorrhiza root and rhizome,https://www.iso.org/standard/70518.html
,ISO 21315:2018,Traditional Chinese medicine  Ganoderma lucidum fruiting body,https://www.iso.org/standard/70519.html
,ISO 21316:2019,Traditional Chinese medicine  Isatis indigotica root,https://www.iso.org/standard/70520.html
,ISO 21370:2019,Traditional Chinese medicine  Dendrobium officinale stem,https://www.iso.org/standard/70792.html
,ISO 21371:2018,Traditional Chinese medicine  Labelling requirements of products intended for oral or topical use,https://www.iso.org/standard/70793.html
,ISO 22212:2019,Traditional Chinese medicine  Gastrodia elata tuber,https://www.iso.org/standard/72883.html
,ISO 22256:2020,Traditional Chinese medicine  Detection of irradiated natural products by photostimulated luminescence,https://www.iso.org/standard/72985.html
,ISO 22258:2020,Traditional Chinese medicine  Determination of pesticide residues in natural products by gas chromatography,https://www.iso.org/standard/72987.html
,ISO 22283:2020,Traditional Chinese medicine  Determination of aflatoxins in natural products by LC-FLD,https://www.iso.org/standard/73030.html
,ISO 22467:2021,Traditional Chinese medicine  Determination of microorganisms in natural products,https://www.iso.org/standard/73288.html
,ISO 22584:2019,Traditional Chinese medicine  Angelica sinensis root,https://www.iso.org/standard/73507.html
,ISO 22585:2022,Traditional Chinese medicine  Codonopsis pilosula root,https://www.iso.org/standard/73508.html
,ISO 22586:2022,Traditional Chinese medicine  Paeonia lactiflora root  White peony root,https://www.iso.org/standard/73509.html
,ISO 22590:2020,Traditional Chinese medicine  Determination of sulfur dioxide in natural products by titration,https://www.iso.org/standard/73513.html
,ISO 22988:2020,Traditional Chinese medicine  Astragalus mongholicus root,https://www.iso.org/standard/74288.html
,ISO/TR 23021:2018,Traditional Chinese medicine  Controlled vocabulary on Japanese Kampo crude drugs,https://www.iso.org/standard/74339.html
,ISO/TR 23022:2018,Traditional Chinese medicine  Controlled vocabulary on Japanese Kampo formulas and the indication codes for the products,https://www.iso.org/standard/74340.html
,ISO/TS 23030:2020,Traditional Chinese medicine  Clinical document specification for prescription of traditional Chinese medicine decoction pieces,https://www.iso.org/standard/74354.html
,ISO 23190:2021,Traditional Chinese medicine  Determination of aristolochic acids in natural products by high-performance liquid chromatography (HPLC),https://www.iso.org/standard/74848.html
,ISO 23191:2020,Traditional Chinese medicine  Determination of selected Aconitum alkaloids by high-performance liquid chromatography (HPLC),https://www.iso.org/standard/74849.html
,ISO 23193:2020,Traditional Chinese medicine  Lycium barbarum and Lycium chinense fruit,https://www.iso.org/standard/74851.html
,ISO 23419:2021,Traditional Chinese medicine  General requirements for manufacturing procedures and quality assurance of granules,https://www.iso.org/standard/75513.html
,ISO 23723:2021,Traditional Chinese medicine  General requirements for herbal raw material and materia medica,https://www.iso.org/standard/76765.html
,ISO 23956:2022,Traditional Chinese medicine  Determination of benzopyrene in processed natural products,https://www.iso.org/standard/77463.html
,ISO 23959:2021,Traditional Chinese medicine  Glehnia littoralis root,https://www.iso.org/standard/77466.html
,ISO 23962:2021,Traditional Chinese medicine  Processed Aconitum carmichaelii lateral root,https://www.iso.org/standard/77469.html
,ISO 23963-1:2022,Traditional Chinese medicine  Requirements for process traceability systems in Chinese materia medica and decoction pieces  Part 1: Components,https://www.iso.org/standard/77472.html
,ISO 23963-2:2022,Traditional Chinese medicine  Requirements for process traceability system of Chinese materia medica and decoction pieces  Part 2: Electronic labelling,https://www.iso.org/standard/77478.html
,ISO 23964:2022,Traditional Chinese medicine  Saposhnikovia divaricata root and rhizome,https://www.iso.org/standard/77473.html
,ISO 23965:2022,Traditional Chinese medicine  Bupleurum chinense Bupleurum scorzonerifolium and Bupleurum falcatum root,https://www.iso.org/standard/77474.html
,ISO 23972:2021,Traditional Chinese medicine  Zingiber officinale rhizome,https://www.iso.org/standard/77486.html
,ISO/TR 23975:2019,Traditional Chinese medicine  Priority list of single herbal medicines for developing standards,https://www.iso.org/standard/77493.html
,ISO 21976:2018,Packaging  Tamper verification features for medicinal product packaging,https://www.iso.org/standard/72331.html
,ISO 23416:2023,General specifications and testing methods for temperature-sensitive medicinal packages in good distribution practice principles,https://www.iso.org/standard/75504.html
,ISO 24166-1:2022,Snap-on bottles for metering pumps  Part 1: Tubular glass,https://www.iso.org/standard/77974.html
,ISO 24166-2:2022,Snap-on bottles for metering pumps  Part 2: Moulded glass,https://www.iso.org/standard/77983.html
,ISO 24166-3:2022,Snap-on bottles for metering pumps  Part 3: Plastic,https://www.iso.org/standard/77984.html
,ISO 10282:2023,Single-use sterile rubber surgical gloves  Specification,https://www.iso.org/standard/80474.html
,ISO 11193-1:2020,Single-use medical examination gloves  Part 1: Specification for gloves made from rubber latex or rubber solution,https://www.iso.org/standard/75379.html
,ISO 11193-2:2006,Single-use medical examination gloves  Part 2: Specification for gloves made from poly(vinyl chloride),https://www.iso.org/standard/37162.html
,ISO 11193:1994,Single-use rubber examination gloves  Specification,https://www.iso.org/standard/19193.html
,ISO 21171:2006,Medical gloves  Determination of removable surface powder,https://www.iso.org/standard/36356.html
,ISO 22609:2004,Clothing for protection against infectious agents  Medical face masks  Test method for resistance against penetration by synthetic blood (fixed volume horizontally projected),https://www.iso.org/standard/35055.html
,ISO 22610:2018,Surgical drapes gowns and clean air suits used as medical devices for patients clinical staff and equipment  Test method to determine the resistance to wet bacterial penetration,https://www.iso.org/standard/63671.html
,ISO 22882:2016,Castors and wheels  Requirements for castors for hospital beds,https://www.iso.org/standard/68238.html
,IEC 60601-2-52:2009 /Cor 1:2010,Medical electrical equipment  Part 2-52: Particular requirements for the basic safety and essential performance of medical beds  Technical Corrigendum 1,https://www.iso.org/standard/57400.html
,IEC 60601-2-31:2020,Medical electrical equipment  Part 2-31: Particular requirements for the basic safety and essential performance of external cardiac pacemakers with internal power source,https://www.iso.org/standard/72452.html
,IEC 80601-2-35:2009 /Cor 2:2015,Medical electrical equipment  Part 2-35: Particular requirements for the basic safety and essential performance of heating devices using blankets pads or mattresses and intended for heating in medical use  Technical Corrigendum 2,https://www.iso.org/standard/68615.html
,ISO 7930:1986,Wheelchairs  Type classification based on appearance characteristics,https://www.iso.org/standard/14899.html
,ISO 8670-2:1996,Ostomy collection bags  Part 2: Requirements and test methods,https://www.iso.org/standard/20228.html
,ISO 9999:2022,Assistive products  Classification and terminology,https://www.iso.org/standard/72464.html
,ISO 6273:2024,Assistive products  Accessibility guidelines and requirements to survey the needs of persons with sensory disabilities for assistive products and services,https://www.iso.org/standard/82258.html
,ISO 16201:2006,Technical aids for persons with disability  Environmental control systems for daily living,https://www.iso.org/standard/32156.html
,ISO 17069:2020,Accessible design  Consideration and assistive products for accessible meeting,https://www.iso.org/standard/81086.html
,ISO 17966:2016,Assistive products for personal hygiene that support users  Requirements and test methods,https://www.iso.org/standard/61146.html
,ISO 20342-1:2022,Assistive products for tissue integrity when lying down  Part 1: General requirements,https://www.iso.org/standard/84125.html
,ISO 20342-5:2024,Assistive products for tissue integrity when lying down  Part 5: Test method for resistance to cleaning and disinfection,https://www.iso.org/standard/79540.html
,ISO/TR 20342-7:2021,Assistive products for tissue integrity when lying down  Part 7: Foam properties characteristics and performance,https://www.iso.org/standard/79542.html
,ISO/TS 20342-10:2022,Assistive products for tissue integrity when lying down  Part 10: Guidance to cleaning disinfecting and care of polyurethane APTI covers,https://www.iso.org/standard/82271.html
,ISO 21801-1:2020,Cognitive accessibility  Part 1: General guidelines,https://www.iso.org/standard/71711.html
,ISO 21801-2:2022,Cognitive accessibility  Part 2: Reporting,https://www.iso.org/standard/77619.html
,ISO 21802:2019,Assistive products  Guidelines on cognitive accessibility  Daily time management,https://www.iso.org/standard/71712.html
,ISO 21856:2022,Assistive products  General requirements and test methods,https://www.iso.org/standard/71986.html
,ISO/TR 22411:2021,Ergonomics data for use in the application of ISO/IEC Guide 71:2014,https://www.iso.org/standard/78847.html
,ISO 5363:2024,Robotics  Test methods for exoskeleton-type walking RACA robot,https://www.iso.org/standard/81161.html
,ISO 6440:1985,Wheelchairs  Nomenclature terms and definitions,https://www.iso.org/standard/12796.html
,ISO 7176-1:2014,Wheelchairs  Part 1: Determination of static stability,https://www.iso.org/standard/56817.html
,ISO 7176-2:2017,Wheelchairs  Part 2: Determination of dynamic stability of electrically powered wheelchairs,https://www.iso.org/standard/57753.html
,ISO 7176-3:2012,Wheelchairs  Part 3: Determination of effectiveness of brakes,https://www.iso.org/standard/53816.html
,ISO 7176-4:2008,Wheelchairs  Part 4: Energy consumption of electric wheelchairs and scooters for determination of theoretical distance range,https://www.iso.org/standard/40991.html
,ISO 7176-5:2008,Wheelchairs  Part 5: Determination of dimensions mass and manoeuvring space,https://www.iso.org/standard/46429.html
,ISO 7176-6:2018,Wheelchairs  Part 6: Determination of maximum speed of electrically powered wheelchairs,https://www.iso.org/standard/70589.html
,ISO 7176-7:1998,Wheelchairs  Part 7: Measurement of seating and wheel dimensions,https://www.iso.org/standard/13783.html
,ISO 7176-8:2014,Wheelchairs  Part 8: Requirements and test methods for static impact and fatigue strengths,https://www.iso.org/standard/64902.html
,ISO 7176-9:2009,Wheelchairs  Part 9: Climatic tests for electric wheelchairs,https://www.iso.org/standard/50102.html
,ISO 7176-10:2008,Wheelchairs  Part 10: Determination of obstacle-climbing ability of electrically powered wheelchairs,https://www.iso.org/standard/45984.html
,ISO 7176-11:2012,Wheelchairs  Part 11: Test dummies,https://www.iso.org/standard/53056.html
,ISO 7176-13:1989,Wheelchairs  Part 13: Determination of coefficient of friction of test surfaces,https://www.iso.org/standard/13789.html
,ISO 7176-14:2022 /DAmd 1,Wheelchairs  Part 14: Power and control systems for electrically powered wheelchairs and scooters  Requirements and test methods  Amendment 1: Correction of referred standard,https://www.iso.org/standard/88739.html
,ISO 7176-15:1996,Wheelchairs  Part 15: Requirements for information disclosure documentation and labelling,https://www.iso.org/standard/13791.html
,ISO 7176-16:2012,Wheelchairs  Part 16: Resistance to ignition of postural support devices,https://www.iso.org/standard/40992.html
,ISO 7176-19:2022,Wheelchairs  Part 19: Wheelchairs for use as seats in motor vehicles,https://www.iso.org/standard/71919.html
,ISO 7176-21:2009,Wheelchairs  Part 21: Requirements and test methods for electromagnetic compatibility of electrically powered wheelchairs and scooters and battery chargers,https://www.iso.org/standard/51048.html
,ISO 7176-22:2014,Wheelchairs  Part 22: Set-up procedures,https://www.iso.org/standard/60290.html
,ISO 7176-23:2002,Wheelchairs  Part 23: Requirements and test methods for attendant-operated stair-climbing devices,https://www.iso.org/standard/31275.html
,ISO 7176-24:2004,Wheelchairs  Part 24: Requirements and test methods for user-operated stair-climbing devices,https://www.iso.org/standard/31276.html
,ISO 7176-25:2022 /DAmd 1,Wheelchairs  Part 25: Lead-acid batteries and chargers for powered wheelchairs  Requirements and test methods  Amendment 1: Range of charging voltage and range of the minimum and maximum rated DC output voltage for testing,https://www.iso.org/standard/88755.html
,ISO 7176-26:2007,Wheelchairs  Part 26: Vocabulary,https://www.iso.org/standard/44224.html
,ISO 7176-28:2012,Wheelchairs  Part 28: Requirements and test methods for stair-climbing devices,https://www.iso.org/standard/45653.html
,ISO 7176-30:2018,Wheelchairs  Part 30: Wheelchairs for changing occupant posture  Test methods and requirements,https://www.iso.org/standard/66524.html
,ISO 7176-31:2023,Wheelchairs  Part 31: Lithium-ion battery systems and chargers for powered wheelchairs  Requirements and test methods,https://www.iso.org/standard/75903.html
,ISO 7176-32:2022,Wheelchairs  Part 32: Test method for wheelchair castor assembly durability,https://www.iso.org/standard/77566.html
